3244,"MED VOYAGER",13942,"DA RADA A ORMEGGIO",20,"2018-01-02 08:15"
3244,"MED VOYAGER",13942,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 07:40"
3244,"MED VOYAGER",13942,"NAVE FUORI VISTA",26,"2018-01-03 08:30"
3245,"SIDER JOY",12045,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 07:00"
3245,"SIDER JOY",12045,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 09:36"
3245,"SIDER JOY",12045,"NAVE FUORI VISTA",26,"2018-01-04 10:40"
3245,"SIDER JOY",12045,"NAVE IN ENTRATA",14,"2018-01-01 08:30"
3245,"SIDER JOY",12045,"ORMEGGIO NAVE",17,"2018-01-01 09:30"
3246,"HC OPAL",13944,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 19:30"
3246,"HC OPAL",13944,"DISORMEGGIO PER PARTENZA",23,"2018-01-04 08:45"
3246,"HC OPAL",13944,"NAVE FUORI VISTA",26,"2018-01-04 09:25"
3246,"HC OPAL",13944,"NAVE IN ENTRATA",14,"2018-01-01 19:55"
3246,"HC OPAL",13944,"ORMEGGIO NAVE",17,"2018-01-01 20:50"
3247,"SYN ACRAB",13943,"ANCORAGGIO IN RADA",16,"2018-01-01 07:12"
3247,"SYN ACRAB",13943,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 06:42"
3247,"SYN ACRAB",13943,"DA RADA A ORMEGGIO",20,"2018-01-02 15:55"
3247,"SYN ACRAB",13943,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 17:00"
3247,"SYN ACRAB",13943,"NAVE FUORI VISTA",26,"2018-01-03 17:30"
3248,"KREMPERTOR ",13946,"ANCORAGGIO IN RADA",16,"2018-01-01 12:30"
3248,"KREMPERTOR ",13946,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 12:30"
3248,"KREMPERTOR ",13946,"DA ORMEGGIO A ORMEGGIO",18,"2018-01-11 15:15"
3248,"KREMPERTOR ",13946,"DA RADA A ORMEGGIO",20,"2018-01-05 11:10"
3248,"KREMPERTOR ",13946,"DISORMEGGIO PER PARTENZA",23,"2018-01-13 13:00"
3248,"KREMPERTOR ",13946,"NAVE FUORI VISTA",26,"2018-01-13 13:25"
3250,"LOUISE BORCHARD",13106,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 11:18"
3250,"LOUISE BORCHARD",13106,"DISORMEGGIO PER PARTENZA",23,"2018-01-01 22:00"
3250,"LOUISE BORCHARD",13106,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 13:06"
3250,"LOUISE BORCHARD",13106,"NAVE FUORI VISTA",26,"2018-01-02 14:12"
3250,"LOUISE BORCHARD",13106,"NAVE IN ENTRATA",14,"2018-01-01 18:10"
3250,"LOUISE BORCHARD",13106,"ORMEGGIO NAVE",17,"2018-01-01 19:00"
3251,"SDS WIND",13060,"ANCORAGGIO IN RADA",16,"2018-01-01 20:00"
3251,"SDS WIND",13060,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 19:40"
3251,"SDS WIND",13060,"DA RADA A ORMEGGIO",20,"2018-01-02 16:50"
3251,"SDS WIND",13060,"DISORMEGGIO PER PARTENZA",23,"2018-01-03 17:50"
3251,"SDS WIND",13060,"NAVE FUORI VISTA",26,"2018-01-03 18:50"
3253,"CHEMICAL HUNTER",12409,"ANCORAGGIO IN RADA",16,"2018-01-01 15:12"
3253,"CHEMICAL HUNTER",12409,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-01 15:12"
3253,"CHEMICAL HUNTER",12409,"DA RADA A ORMEGGIO",20,"2018-01-02 14:50"
3253,"CHEMICAL HUNTER",12409,"DISORMEGGIO PER PARTENZA",23,"2018-01-02 23:10"
3253,"CHEMICAL HUNTER",12409,"NAVE FUORI VISTA",26,"2018-01-02 23:45"
3254,"GENERAL SHIKHLINSKY",13947,"ANCORAGGIO IN RADA",16,"2018-01-02 22:10"
3254,"GENERAL SHIKHLINSKY",13947,"ANCORAGGIO IN RADA",16,"2018-01-03 22:10"
3254,"GENERAL SHIKHLINSKY",13947,"AVVISTAMENTO/ARRIVO NAVE",13,"2018-01-02 22:00"
3254,"GENERAL SHIKHLINSKY",13947,"DA RADA A ORMEGGIO",20,"2018-01-03 07:25"
3254,"GENERAL SHIKHLINSKY",13947,"DISORMEGGIO PER PARTENZA",23,"2018-01-05 02:40"
3254,"GENERAL SHIKHLINSKY",13947,"NAVE FUORI VISTA",26,"2018-01-05 03:10"
3254,"GENERAL SHIKHLINSKY",13947,"NAVE IN ENTRATA",14,"2018-01-03 07:25"
3254,"GENERAL SHIKHLINSKY",13947,"ORMEGGIO NAVE",17,"2018-01-03 08:20"
